WikiID,Name,global_revenue,budget,gross_domestic,opening_weekend,rating_score,number_of_ratings,watched_rank,producer,release_year
21419781,Before Vanishing,None,None,None,None,None,None,None,None,None
8368963,Eating Out 2: Sloppy Seconds,37072.0,None,37072.0,4394.0,6.2,4100.0,None,Phillip J. Bartell,2006
17139107,Sweet Rosie O'Grady,None,1185000.0,None,None,6.2,342.0,None,Irving Cummings,1943
14009165,Viva,None,None,None,None,5.9,1400.0,None,Anna Biller,2007
31322596,Die Dresdner Philharmoniker,None,None,None,None,None,None,None,Joachim Kunert,1955
19162068,The Creature of the Sunny Side Up Trailer Park,None,10000000.0,None,None,3.8,163.0,None,Christopher Coppola,2006
18699640,The Halliday Brand,None,None,None,None,6.3,501.0,None,Joseph H. Lewis,1957
28270857,A Broken Sole,None,450000.0,None,None,6.2,14.0,None,Antony Marsellis,2006
51563,The Luzhin Defence,1873620.0,None,1053070.0,63203.0,6.8,4600.0,None,Marleen Gorris,2000
2739891,Bruce Lee and I,None,None,None,None,3.5,179.0,None,Mar Lo,1976
12685951,Dulcinea,None,None,None,None,8.2,118.0,None,Vicente Escrivá,1962
30873754,Rider On The Rain,None,None,708382.0,None,6.7,3700.0,None,René Clément,1970
6947418,Gunda,None,None,None,None,7.3,11000.0,None,Kanti Shah,1998
31322349,Dresden,None,None,None,None,None,None,None,None,None
7040349,In The Navy,None,380000.0,None,None,6.7,3200.0,None,Arthur Lubin,1941
29146986,Mere Brother Ki Dulhan,11983381.0,None,496172.0,403017.0,5.9,10000.0,None,Ali Abbas Zafar,2011
4384761,The Black Godfather,None,None,491900.0,None,4.3,553.0,None,John Evans,1974
1135295,Thir13en Ghosts,68467960.0,42000000.0,41867960.0,15165355.0,5.6,92000.0,674.0,Steve Beck,2001
7139279,Falkenberg Farewell,524092.0,300000.0,None,None,6.4,2900.0,None,Jesper Ganslandt,2006
15782595,A Match Made in Heaven,None,None,None,None,5.6,280.0,None,Paul Wendkos,1997
20112989,Design for Death,None,None,None,None,5.9,45.0,None,Richard Fleischer,1947
22078530,My Wife's Enemy,None,None,None,None,5.6,70.0,None,Gianni Puccini,1959
6790034,Twelve Months,None,None,None,None,7.3,416.0,None,Kimio Yabuki,1980
